cc_p20,cc_p40,cc_p60,cc_p80,cc_default,date,x,y,cc_p20_perc,cc_p40_perc,cc_p60_perc,cc_p80_perc,cc_default_perc
122392,81454,69665,58577,93389,2019-07-30,5120,6144,46.7,31.1,26.6,22.3,35.6
13,0,0,0,0,2019-08-09,5120,6144,0.0,0.0,0.0,0.0,0.0
239953,236772,233604,229779,237621,2016-12-22,5120,6656,91.5,90.3,89.1,87.7,90.6
142935,118680,106471,92704,127848,2017-01-01,5120,6656,54.5,45.3,40.6,35.4,48.8
160158,133390,117318,97582,145136,2017-01-11,5120,6656,61.1,50.9,44.8,37.2,55.4
110999,75405,62301,49872,82654,2017-02-10,5120,6656,42.3,28.8,23.8,19.0,31.5
93513,65412,45254,24735,76082,2017-02-20,5120,6656,35.7,25.0,17.3,9.4,29.0
166297,116611,99013,80193,126575,2017-03-02,5120,6656,63.4,44.5,37.8,30.6,48.3
37336,27936,21899,16539,32062,2017-03-12,5120,6656,14.2,10.7,8.4,6.3,12.2
27,1,0,0,0,2017-04-01,5120,6656,0.0,0.0,0.0,0.0,0.0
10948,6557,3144,989,8282,2017-04-11,5120,6656,4.2,2.5,1.2,0.4,3.2
262139,261344,256710,248457,262051,2017-05-01,5120,6656,100.0,99.7,97.9,94.8,100.0
535,1,0,0,0,2017-05-11,5120,6656,0.2,0.0,0.0,0.0,0.0
124997,87079,71017,57121,99925,2017-05-21,5120,6656,47.7,33.2,27.1,21.8,38.1
51161,21873,8538,1854,26702,2017-05-31,5120,6656,19.5,8.3,3.3,0.7,10.2
48324,31579,25305,17187,35139,2017-06-20,5120,6656,18.4,12.0,9.7,6.6,13.4
234172,123021,99842,83563,135823,2017-07-10,5120,6656,89.3,46.9,38.1,31.9,51.8
673,0,0,0,0,2017-07-20,5120,6656,0.3,0.0,0.0,0.0,0.0
199923,143022,117368,102588,158799,2017-07-30,5120,6656,76.3,54.6,44.8,39.1,60.6
120,2,0,0,0,2017-08-09,5120,6656,0.0,0.0,0.0,0.0,0.0
101,0,0,0,0,2017-08-19,5120,6656,0.0,0.0,0.0,0.0,0.0
36510,30837,27828,24232,35550,2017-09-08,5120,6656,13.9,11.8,10.6,9.2,13.6
135862,70516,57225,47365,77917,2017-09-18,5120,6656,51.8,26.9,21.8,18.1,29.7
519,4,0,0,0,2017-09-28,5120,6656,0.2,0.0,0.0,0.0,0.0
134262,106891,96816,87574,116919,2017-10-08,5120,6656,51.2,40.8,36.9,33.4,44.6
458,13,0,0,0,2017-10-28,5120,6656,0.2,0.0,0.0,0.0,0.0
17274,12677,10584,8140,15135,2017-11-07,5120,6656,6.6,4.8,4.0,3.1,5.8
57542,43883,40064,35930,48930,2017-11-17,5120,6656,22.0,16.7,15.3,13.7,18.7
93952,77426,67109,58874,85968,2017-11-27,5120,6656,35.8,29.5,25.6,22.5,32.8
3459,2274,1629,897,2936,2017-12-07,5120,6656,1.3,0.9,0.6,0.3,1.1
66016,36479,28206,22193,42061,2017-12-17,5120,6656,25.2,13.9,10.8,8.5,16.0
5133,2872,1779,713,3546,2017-12-27,5120,6656,2.0,1.1,0.7,0.3,1.4
178838,128879,113144,100167,141069,2018-01-06,5120,6656,68.2,49.2,43.2,38.2,53.8
246613,208127,186856,162434,218080,2018-01-26,5120,6656,94.1,79.4,71.3,62.0,83.2
262144,262144,262144,262144,262144,2018-02-15,5120,6656,100.0,100.0,100.0,100.0,100.0
121810,99755,88360,76560,109514,2018-03-17,5120,6656,46.5,38.1,33.7,29.2,41.8
261553,252262,237841,216208,255881,2018-04-16,5120,6656,99.8,96.2,90.7,82.5,97.6
164,1,0,0,0,2018-04-26,5120,6656,0.1,0.0,0.0,0.0,0.0
261775,258318,248583,234471,260941,2018-05-06,5120,6656,99.9,98.5,94.8,89.4,99.5
248562,218108,202654,185084,223572,2018-05-26,5120,6656,94.8,83.2,77.3,70.6,85.3
349,0,0,0,0,2018-06-05,5120,6656,0.1,0.0,0.0,0.0,0.0
46748,29563,24358,17581,34064,2018-06-15,5120,6656,17.8,11.3,9.3,6.7,13.0
235535,144481,78326,26076,173533,2018-06-25,5120,6656,89.8,55.1,29.9,9.9,66.2
180172,139985,123148,105872,155675,2018-07-05,5120,6656,68.7,53.4,47.0,40.4,59.4
769,31,13,5,0,2018-07-15,5120,6656,0.3,0.0,0.0,0.0,0.0
1029,29,16,7,0,2018-07-25,5120,6656,0.4,0.0,0.0,0.0,0.0
1666,371,134,15,400,2018-08-04,5120,6656,0.6,0.1,0.1,0.0,0.2
28949,8574,5091,2719,9281,2018-08-14,5120,6656,11.0,3.3,1.9,1.0,3.5
2163,846,396,51,1141,2018-08-24,5120,6656,0.8,0.3,0.2,0.0,0.4
118,6,3,0,0,2018-09-03,5120,6656,0.0,0.0,0.0,0.0,0.0
156011,109646,96031,83696,119058,2018-09-13,5120,6656,59.5,41.8,36.6,31.9,45.4
160667,78247,51011,40236,90752,2018-10-03,5120,6656,61.3,29.8,19.5,15.3,34.6
167098,147412,138602,128448,156613,2018-10-23,5120,6656,63.7,56.2,52.9,49.0,59.7
127664,106771,93223,80545,118792,2018-11-02,5120,6656,48.7,40.7,35.6,30.7,45.3
43457,26362,20049,14454,31713,2018-11-12,5120,6656,16.6,10.1,7.6,5.5,12.1
180407,144075,121699,99521,161792,2018-11-22,5120,6656,68.8,55.0,46.4,38.0,61.7
40482,19798,15079,10485,24289,2018-12-02,5120,6656,15.4,7.6,5.8,4.0,9.3
237338,202703,175596,141481,217688,2019-01-01,5120,6656,90.5,77.3,67.0,54.0,83.0
157658,118709,103618,87919,131180,2019-01-21,5120,6656,60.1,45.3,39.5,33.5,50.0
166,0,0,0,0,2019-02-20,5120,6656,0.1,0.0,0.0,0.0,0.0
70169,50876,38814,27197,57865,2019-03-02,5120,6656,26.8,19.4,14.8,10.4,22.1
44,3,0,0,0,2019-03-12,5120,6656,0.0,0.0,0.0,0.0,0.0
262141,262055,261587,259730,262144,2019-04-11,5120,6656,100.0,100.0,99.8,99.1,100.0
262144,262144,262143,262139,262144,2019-04-21,5120,6656,100.0,100.0,100.0,100.0,100.0
259434,246208,231871,211173,249100,2019-05-01,5120,6656,99.0,93.9,88.5,80.6,95.0
96,2,0,0,0,2019-05-11,5120,6656,0.0,0.0,0.0,0.0,0.0
42729,10322,672,19,12611,2019-05-21,5120,6656,16.3,3.9,0.3,0.0,4.8
241392,186611,141274,103686,195200,2019-06-10,5120,6656,92.1,71.2,53.9,39.6,74.5
351,0,0,0,0,2019-06-20,5120,6656,0.1,0.0,0.0,0.0,0.0
4529,1918,1110,371,2682,2019-06-30,5120,6656,1.7,0.7,0.4,0.1,1.0
721,2,0,0,0,2019-07-20,5120,6656,0.3,0.0,0.0,0.0,0.0
138471,95809,80859,67226,110091,2019-07-30,5120,6656,52.8,36.5,30.8,25.6,42.0
51,0,0,0,0,2019-08-09,5120,6656,0.0,0.0,0.0,0.0,0.0
262144,262144,262144,262136,262144,2016-12-22,5120,7168,100.0,100.0,100.0,100.0,100.0
172950,150527,137348,126087,156889,2017-01-01,5120,7168,66.0,57.4,52.4,48.1,59.8
95831,67676,52458,37168,78069,2017-01-11,5120,7168,36.6,25.8,20.0,14.2,29.8
132012,95451,80184,65038,104306,2017-02-10,5120,7168,50.4,36.4,30.6,24.8,39.8
84091,58792,42774,24473,67643,2017-02-20,5120,7168,32.1,22.4,16.3,9.3,25.8
122363,83919,66257,45963,91330,2017-03-02,5120,7168,46.7,32.0,25.3,17.5,34.8
69215,56136,47408,38284,64072,2017-03-12,5120,7168,26.4,21.4,18.1,14.6,24.4
216,4,0,0,0,2017-04-01,5120,7168,0.1,0.0,0.0,0.0,0.0
305,40,1,0,0,2017-04-11,5120,7168,0.1,0.0,0.0,0.0,0.0
262144,262142,262118,261997,262144,2017-05-01,5120,7168,100.0,100.0,100.0,99.9,100.0
90,7,0,0,0,2017-05-11,5120,7168,0.0,0.0,0.0,0.0,0.0
55152,35303,27492,20487,42038,2017-05-21,5120,7168,21.0,13.5,10.5,7.8,16.0
12743,2358,522,61,1422,2017-05-31,5120,7168,4.9,0.9,0.2,0.0,0.5
9393,5106,3903,2089,5958,2017-06-20,5120,7168,3.6,1.9,1.5,0.8,2.3
251382,180495,153490,137874,191253,2017-07-10,5120,7168,95.9,68.9,58.6,52.6,73.0
139,2,0,0,0,2017-07-20,5120,7168,0.1,0.0,0.0,0.0,0.0
232782,180814,162792,149282,194580,2017-07-30,5120,7168,88.8,69.0,62.1,56.9,74.2
17,0,0,0,0,2017-08-09,5120,7168,0.0,0.0,0.0,0.0,0.0
8,0,0,0,0,2017-08-19,5120,7168,0.0,0.0,0.0,0.0,0.0
36014,27562,22901,18197,33232,2017-09-08,5120,7168,13.7,10.5,8.7,6.9,12.7
136015,70928,56692,44638,80082,2017-09-18,5120,7168,51.9,27.1,21.6,17.0,30.5
95,0,0,0,0,2017-09-28,5120,7168,0.0,0.0,0.0,0.0,0.0
107175,83217,72934,61646,93000,2017-10-08,5120,7168,40.9,31.7,27.8,23.5,35.5
58,7,0,0,0,2017-10-28,5120,7168,0.0,0.0,0.0,0.0,0.0
13577,9932,8209,6118,12009,2017-11-07,5120,7168,5.2,3.8,3.1,2.3,4.6
192156,155405,143857,133667,164505,2017-11-17,5120,7168,73.3,59.3,54.9,51.0,62.8
45395,26343,21191,17122,30852,2017-11-27,5120,7168,17.3,10.0,8.1,6.5,11.8
136,10,0,0,0,2017-12-07,5120,7168,0.1,0.0,0.0,0.0,0.0
148732,97795,85704,77526,104788,2017-12-17,5120,7168,56.7,37.3,32.7,29.6,40.0
22330,14817,10406,5390,17805,2017-12-27,5120,7168,8.5,5.7,4.0,2.1,6.8
204782,152819,135664,119559,165630,2018-01-06,5120,7168,78.1,58.3,51.8,45.6,63.2
248265,214030,196658,180076,220841,2018-01-26,5120,7168,94.7,81.6,75.0,68.7,84.2
262144,262144,262144,262144,262144,2018-02-15,5120,7168,100.0,100.0,100.0,100.0,100.0
146384,121961,107914,92991,134502,2018-03-17,5120,7168,55.8,46.5,41.2,35.5,51.3
259998,224192,184648,154291,234570,2018-04-16,5120,7168,99.2,85.5,70.4,58.9,89.5
79,0,0,0,0,2018-04-26,5120,7168,0.0,0.0,0.0,0.0,0.0
261589,254199,244008,230117,257721,2018-05-06,5120,7168,99.8,97.0,93.1,87.8,98.3
255941,226900,210122,190375,233264,2018-05-26,5120,7168,97.6,86.6,80.2,72.6,89.0
214,2,0,0,0,2018-06-05,5120,7168,0.1,0.0,0.0,0.0,0.0
135390,102453,84779,59662,109217,2018-06-15,5120,7168,51.6,39.1,32.3,22.8,41.7
239797,153557,97464,43536,179467,2018-06-25,5120,7168,91.5,58.6,37.2,16.6,68.5
189639,151863,139168,127204,165011,2018-07-05,5120,7168,72.3,57.9,53.1,48.5,62.9
436,4,0,0,0,2018-07-15,5120,7168,0.2,0.0,0.0,0.0,0.0
702,85,1,0,0,2018-07-25,5120,7168,0.3,0.0,0.0,0.0,0.0
4064,1374,716,253,1641,2018-08-04,5120,7168,1.6,0.5,0.3,0.1,0.6
32492,15595,7203,4134,18814,2018-08-14,5120,7168,12.4,5.9,2.7,1.6,7.2
7825,5145,3276,1174,6469,2018-08-24,5120,7168,3.0,2.0,1.2,0.4,2.5
17,0,0,0,0,2018-09-03,5120,7168,0.0,0.0,0.0,0.0,0.0
146289,88469,76499,65631,98032,2018-09-13,5120,7168,55.8,33.7,29.2,25.0,37.4
230131,162824,119366,100480,185543,2018-10-03,5120,7168,87.8,62.1,45.5,38.3,70.8
126647,107750,99612,89943,116460,2018-10-23,5120,7168,48.3,41.1,38.0,34.3,44.4
113244,84137,69917,58845,94558,2018-11-02,5120,7168,43.2,32.1,26.7,22.4,36.1
48635,31145,23770,17292,36749,2018-11-12,5120,7168,18.6,11.9,9.1,6.6,14.0
205785,176401,159782,140051,190627,2018-11-22,5120,7168,78.5,67.3,61.0,53.4,72.7
23404,11338,9461,7595,13079,2018-12-02,5120,7168,8.9,4.3,3.6,2.9,5.0
251974,236975,226032,212350,244158,2019-01-01,5120,7168,96.1,90.4,86.2,81.0,93.1
177500,118323,99629,84605,128899,2019-01-21,5120,7168,67.7,45.1,38.0,32.3,49.2
451,22,0,0,0,2019-02-20,5120,7168,0.2,0.0,0.0,0.0,0.0
92334,67837,54285,41110,75348,2019-03-02,5120,7168,35.2,25.9,20.7,15.7,28.7
250,35,3,0,0,2019-03-12,5120,7168,0.1,0.0,0.0,0.0,0.0
216414,189073,177647,164873,195935,2019-04-11,5120,7168,82.6,72.1,67.8,62.9,74.7
262144,262144,262144,262144,262144,2019-04-21,5120,7168,100.0,100.0,100.0,100.0,100.0
261944,252631,221195,173807,257460,2019-05-01,5120,7168,99.9,96.4,84.4,66.3,98.2
394,26,1,0,0,2019-05-11,5120,7168,0.2,0.0,0.0,0.0,0.0
30143,9675,5408,2378,11057,2019-05-21,5120,7168,11.5,3.7,2.1,0.9,4.2
250774,222545,206218,179822,226690,2019-06-10,5120,7168,95.7,84.9,78.7,68.6,86.5
388,9,0,0,0,2019-06-20,5120,7168,0.1,0.0,0.0,0.0,0.0
1909,503,223,78,630,2019-06-30,5120,7168,0.7,0.2,0.1,0.0,0.2
258,4,0,0,0,2019-07-20,5120,7168,0.1,0.0,0.0,0.0,0.0
156711,111102,95858,81016,125178,2019-07-30,5120,7168,59.8,42.4,36.6,30.9,47.8
174,1,0,0,0,2019-08-09,5120,7168,0.1,0.0,0.0,0.0,0.0
105860,89118,82332,75382,96194,2016-12-22,5632,4096,40.4,34.0,31.4,28.8,36.7
183033,149564,138524,126595,155858,2017-01-01,5632,4096,69.8,57.1,52.8,48.3,59.5
117162,76035,50129,21356,85641,2017-01-11,5632,4096,44.7,29.0,19.1,8.1,32.7
134751,111553,97702,82704,121780,2017-02-10,5632,4096,51.4,42.6,37.3,31.5,46.5
72674,57116,46027,32812,63992,2017-02-20,5632,4096,27.7,21.8,17.6,12.5,24.4
218710,177886,153611,131079,186915,2017-03-02,5632,4096,83.4,67.9,58.6,50.0,71.3
33115,24014,17236,10642,28423,2017-03-12,5632,4096,12.6,9.2,6.6,4.1,10.8
29,1,0,0,0,2017-04-01,5632,4096,0.0,0.0,0.0,0.0,0.0
133,3,0,0,0,2017-04-11,5632,4096,0.1,0.0,0.0,0.0,0.0
210216,133196,102789,76749,148076,2017-05-01,5632,4096,80.2,50.8,39.2,29.3,56.5
50,0,0,0,0,2017-05-11,5632,4096,0.0,0.0,0.0,0.0,0.0
144037,103074,86413,69916,115979,2017-05-21,5632,4096,54.9,39.3,33.0,26.7,44.2
260454,257208,253004,243726,261670,2017-05-31,5632,4096,99.4,98.1,96.5,93.0,99.8
88046,59409,49685,40752,67221,2017-06-20,5632,4096,33.6,22.7,19.0,15.5,25.6
252348,206778,183934,163028,217755,2017-07-10,5632,4096,96.3,78.9,70.2,62.2,83.1
48,1,0,0,0,2017-07-20,5632,4096,0.0,0.0,0.0,0.0,0.0
241683,198346,179942,162994,211002,2017-07-30,5632,4096,92.2,75.7,68.6,62.2,80.5
4647,3261,2629,1822,4239,2017-08-09,5632,4096,1.8,1.2,1.0,0.7,1.6
8,0,0,0,0,2017-08-19,5632,4096,0.0,0.0,0.0,0.0,0.0
34534,25062,20834,16314,30264,2017-09-08,5632,4096,13.2,9.6,7.9,6.2,11.5
220804,160475,141906,121359,172534,2017-09-18,5632,4096,84.2,61.2,54.1,46.3,65.8
90080,61910,49874,31896,70575,2017-09-28,5632,4096,34.4,23.6,19.0,12.2,26.9
44639,32609,25694,18769,39207,2017-10-08,5632,4096,17.0,12.4,9.8,7.2,15.0
96,10,0,0,0,2017-10-28,5632,4096,0.0,0.0,0.0,0.0,0.0
575,318,215,117,418,2017-11-07,5632,4096,0.2,0.1,0.1,0.0,0.2
259248,251352,245724,239873,254393,2017-11-17,5632,4096,98.9,95.9,93.7,91.5,97.0
122796,97257,84475,72324,108566,2017-11-27,5632,4096,46.8,37.1,32.2,27.6,41.4
7605,6064,5235,4080,7122,2017-12-07,5632,4096,2.9,2.3,2.0,1.6,2.7
112460,91386,80803,70075,99376,2017-12-17,5632,4096,42.9,34.9,30.8,26.7,37.9
120278,98223,81602,61528,109276,2017-12-27,5632,4096,45.9,37.5,31.1,23.5,41.7
151703,84631,71223,57255,94527,2018-01-06,5632,4096,57.9,32.3,27.2,21.8,36.1
259713,245393,230432,209764,249341,2018-01-26,5632,4096,99.1,93.6,87.9,80.0,95.1
254100,233647,209776,186597,245145,2018-02-15,5632,4096,96.9,89.1,80.0,71.2,93.5
61149,48835,40101,31090,54956,2018-03-17,5632,4096,23.3,18.6,15.3,11.9,21.0
244445,185498,157706,124482,195841,2018-04-16,5632,4096,93.2,70.8,60.2,47.5,74.7
77,5,0,0,0,2018-04-26,5632,4096,0.0,0.0,0.0,0.0,0.0
255526,202518,173529,150490,211436,2018-05-06,5632,4096,97.5,77.3,66.2,57.4,80.7
261963,250066,223590,200744,255042,2018-05-26,5632,4096,99.9,95.4,85.3,76.6,97.3
164,7,0,0,0,2018-06-05,5632,4096,0.1,0.0,0.0,0.0,0.0
637,10,0,0,0,2018-06-15,5632,4096,0.2,0.0,0.0,0.0,0.0
201535,157227,122527,91937,178053,2018-06-25,5632,4096,76.9,60.0,46.7,35.1,67.9
208537,174606,162818,148584,185576,2018-07-05,5632,4096,79.6,66.6,62.1,56.7,70.8
316,18,5,0,0,2018-07-15,5632,4096,0.1,0.0,0.0,0.0,0.0
120003,77039,51419,31854,87376,2018-07-25,5632,4096,45.8,29.4,19.6,12.2,33.3
33328,18085,13340,8257,21564,2018-08-04,5632,4096,12.7,6.9,5.1,3.1,8.2
87438,57613,41954,30866,63871,2018-08-14,5632,4096,33.4,22.0,16.0,11.8,24.4
8338,5694,4110,2393,7175,2018-08-24,5632,4096,3.2,2.2,1.6,0.9,2.7
18,2,0,0,0,2018-09-03,5632,4096,0.0,0.0,0.0,0.0,0.0
125175,83796,71724,60248,97681,2018-09-13,5632,4096,47.8,32.0,27.4,23.0,37.3
261896,260261,257771,253537,262001,2018-10-03,5632,4096,99.9,99.3,98.3,96.7,99.9
185910,163650,154508,143743,174457,2018-10-23,5632,4096,70.9,62.4,58.9,54.8,66.6
92348,65092,51272,38270,75082,2018-11-02,5632,4096,35.2,24.8,19.6,14.6,28.6
149661,119723,108902,99911,129115,2018-11-12,5632,4096,57.1,45.7,41.5,38.1,49.3
4542,2699,1632,609,3171,2018-11-22,5632,4096,1.7,1.0,0.6,0.2,1.2
50499,25360,20033,16014,30659,2018-12-02,5632,4096,19.3,9.7,7.6,6.1,11.7
262095,261997,261854,261420,262144,2019-01-01,5632,4096,100.0,99.9,99.9,99.7,100.0
99816,70143,61354,52672,77349,2019-01-21,5632,4096,38.1,26.8,23.4,20.1,29.5
155,0,0,0,0,2019-02-20,5632,4096,0.1,0.0,0.0,0.0,0.0
162087,116431,95885,73845,126687,2019-03-02,5632,4096,61.8,44.4,36.6,28.2,48.3
121,6,0,0,0,2019-03-12,5632,4096,0.0,0.0,0.0,0.0,0.0
252526,159958,111216,85581,177335,2019-04-11,5632,4096,96.3,61.0,42.4,32.6,67.6
235841,192637,156886,114513,206233,2019-04-21,5632,4096,90.0,73.5,59.8,43.7,78.7
259955,241884,219231,185065,248243,2019-05-01,5632,4096,99.2,92.3,83.6,70.6,94.7
613,131,15,0,145,2019-05-11,5632,4096,0.2,0.0,0.0,0.0,0.1
257174,224461,191058,151958,233756,2019-05-21,5632,4096,98.1,85.6,72.9,58.0,89.2
260398,242773,223795,198886,248866,2019-06-10,5632,4096,99.3,92.6,85.4,75.9,94.9
127,7,0,0,0,2019-06-20,5632,4096,0.0,0.0,0.0,0.0,0.0
6169,3442,2513,1739,4216,2019-06-30,5632,4096,2.4,1.3,1.0,0.7,1.6
140,11,2,0,0,2019-07-20,5632,4096,0.1,0.0,0.0,0.0,0.0
57004,36940,29435,22509,43624,2019-07-30,5632,4096,21.7,14.1,11.2,8.6,16.6
66,3,0,0,0,2019-08-09,5632,4096,0.0,0.0,0.0,0.0,0.0
118437,78109,67162,53568,87274,2016-12-22,5632,4608,45.2,29.8,25.6,20.4,33.3
227983,192340,179983,166097,197271,2017-01-01,5632,4608,87.0,73.4,68.7,63.4,75.3
148359,92138,53998,18877,102842,2017-01-11,5632,4608,56.6,35.1,20.6,7.2,39.2
85029,53894,42667,31291,60743,2017-02-10,5632,4608,32.4,20.6,16.3,11.9,23.2
56516,30153,21443,12469,35216,2017-02-20,5632,4608,21.6,11.5,8.2,4.8,13.4
253618,239622,226047,210518,244332,2017-03-02,5632,4608,96.7,91.4,86.2,80.3,93.2
49980,38470,31258,22721,43847,2017-03-12,5632,4608,19.1,14.7,11.9,8.7,16.7
83,0,0,0,0,2017-04-01,5632,4608,0.0,0.0,0.0,0.0,0.0
54,0,0,0,0,2017-04-11,5632,4608,0.0,0.0,0.0,0.0,0.0
239979,177693,146526,119572,192598,2017-05-01,5632,4608,91.5,67.8,55.9,45.6,73.5
48,5,1,0,0,2017-05-11,5632,4608,0.0,0.0,0.0,0.0,0.0
175646,126017,102977,81166,141353,2017-05-21,5632,4608,67.0,48.1,39.3,31.0,53.9
239817,202272,167343,135758,229449,2017-05-31,5632,4608,91.5,77.2,63.8,51.8,87.5
7518,2327,1304,832,2852,2017-06-20,5632,4608,2.9,0.9,0.5,0.3,1.1
258235,205230,150962,113984,221127,2017-07-10,5632,4608,98.5,78.3,57.6,43.5,84.4
317,2,0,0,0,2017-07-20,5632,4608,0.1,0.0,0.0,0.0,0.0
236736,179736,162933,151308,189211,2017-07-30,5632,4608,90.3,68.6,62.2,57.7,72.2
142,0,0,0,0,2017-08-09,5632,4608,0.1,0.0,0.0,0.0,0.0
0,0,0,0,0,2017-08-19,5632,4608,0.0,0.0,0.0,0.0,0.0
21052,15050,12512,9718,17859,2017-09-08,5632,4608,8.0,5.7,4.8,3.7,6.8
232707,158226,127845,109454,173993,2017-09-18,5632,4608,88.8,60.4,48.8,41.8,66.4
109618,76700,58914,38575,87242,2017-09-28,5632,4608,41.8,29.3,22.5,14.7,33.3
122157,97807,86388,75268,108437,2017-10-08,5632,4608,46.6,37.3,33.0,28.7,41.4
33,4,0,0,0,2017-10-28,5632,4608,0.0,0.0,0.0,0.0,0.0
76,5,1,0,0,2017-11-07,5632,4608,0.0,0.0,0.0,0.0,0.0
233906,173085,144324,125809,186735,2017-11-17,5632,4608,89.2,66.0,55.1,48.0,71.2
113651,73543,63159,53201,81281,2017-11-27,5632,4608,43.4,28.1,24.1,20.3,31.0
5037,3438,2585,1428,4458,2017-12-07,5632,4608,1.9,1.3,1.0,0.5,1.7
157501,81010,69464,60550,88255,2017-12-17,5632,4608,60.1,30.9,26.5,23.1,33.7
95845,76575,64338,48477,84294,2017-12-27,5632,4608,36.6,29.2,24.5,18.5,32.2
219855,120626,81484,62920,132466,2018-01-06,5632,4608,83.9,46.0,31.1,24.0,50.5
258025,241219,205910,173133,249930,2018-01-26,5632,4608,98.4,92.0,78.5,66.0,95.3
262129,262041,261848,260887,262144,2018-02-15,5632,4608,100.0,100.0,99.9,99.5,100.0
92821,68459,57359,45372,77253,2018-03-17,5632,4608,35.4,26.1,21.9,17.3,29.5
205995,81242,46202,21597,94208,2018-04-16,5632,4608,78.6,31.0,17.6,8.2,35.9
131,2,1,0,0,2018-04-26,5632,4608,0.0,0.0,0.0,0.0,0.0
261744,254039,234171,213600,258199,2018-05-06,5632,4608,99.8,96.9,89.3,81.5,98.5
247298,161478,98153,54914,174441,2018-05-26,5632,4608,94.3,61.6,37.4,20.9,66.5
229,0,0,0,0,2018-06-05,5632,4608,0.1,0.0,0.0,0.0,0.0
401,10,0,0,0,2018-06-15,5632,4608,0.2,0.0,0.0,0.0,0.0
177158,121518,83156,54980,141780,2018-06-25,5632,4608,67.6,46.4,31.7,21.0,54.1
68004,38675,30411,23222,46049,2018-07-05,5632,4608,25.9,14.8,11.6,8.9,17.6
92,1,0,0,0,2018-07-15,5632,4608,0.0,0.0,0.0,0.0,0.0
161157,112363,75172,45805,131887,2018-07-25,5632,4608,61.5,42.9,28.7,17.5,50.3
16198,8922,6516,3787,11180,2018-08-04,5632,4608,6.2,3.4,2.5,1.4,4.3
43332,13121,3987,632,16752,2018-08-14,5632,4608,16.5,5.0,1.5,0.2,6.4
10758,5514,3663,1807,6997,2018-08-24,5632,4608,4.1,2.1,1.4,0.7,2.7
24,3,0,0,0,2018-09-03,5632,4608,0.0,0.0,0.0,0.0,0.0
120233,80164,69317,59074,90348,2018-09-13,5632,4608,45.9,30.6,26.4,22.5,34.5
223854,140981,109166,99505,151747,2018-10-03,5632,4608,85.4,53.8,41.6,38.0,57.9
152386,126861,117455,104494,136652,2018-10-23,5632,4608,58.1,48.4,44.8,39.9,52.1
126874,67157,51110,37053,77064,2018-11-02,5632,4608,48.4,25.6,19.5,14.1,29.4
102803,21088,16435,13315,23287,2018-11-12,5632,4608,39.2,8.0,6.3,5.1,8.9
33183,16619,9910,3170,20714,2018-11-22,5632,4608,12.7,6.3,3.8,1.2,7.9
124308,58343,44660,35336,68280,2018-12-02,5632,4608,47.4,22.3,17.0,13.5,26.0
262144,262139,262125,262044,262144,2019-01-01,5632,4608,100.0,100.0,100.0,100.0,100.0
217228,174237,157127,140739,180975,2019-01-21,5632,4608,82.9,66.5,59.9,53.7,69.0
40,0,0,0,0,2019-02-20,5632,4608,0.0,0.0,0.0,0.0,0.0
166985,107188,84788,63214,118601,2019-03-02,5632,4608,63.7,40.9,32.3,24.1,45.2
10,0,0,0,0,2019-03-12,5632,4608,0.0,0.0,0.0,0.0,0.0
222550,106636,67055,51204,116569,2019-04-11,5632,4608,84.9,40.7,25.6,19.5,44.5
261894,249013,228076,193646,254237,2019-04-21,5632,4608,99.9,95.0,87.0,73.9,97.0
258277,221597,183737,133196,231420,2019-05-01,5632,4608,98.5,84.5,70.1,50.8,88.3
75,0,0,0,0,2019-05-11,5632,4608,0.0,0.0,0.0,0.0,0.0
228263,112386,74811,43381,122108,2019-05-21,5632,4608,87.1,42.9,28.5,16.5,46.6
261979,260212,252966,237148,261364,2019-06-10,5632,4608,99.9,99.3,96.5,90.5,99.7
326,4,0,0,0,2019-06-20,5632,4608,0.1,0.0,0.0,0.0,0.0
480,85,5,0,77,2019-06-30,5632,4608,0.2,0.0,0.0,0.0,0.0
97,5,1,0,0,2019-07-20,5632,4608,0.0,0.0,0.0,0.0,0.0
70403,29147,21446,15005,34687,2019-07-30,5632,4608,26.9,11.1,8.2,5.7,13.2
22,3,2,0,0,2019-08-09,5632,4608,0.0,0.0,0.0,0.0,0.0
117788,81482,72561,61193,90681,2016-12-22,5632,5120,44.9,31.1,27.7,23.3,34.6
221218,184437,165219,145367,195662,2017-01-01,5632,5120,84.4,70.4,63.0,55.5,74.6
156256,98237,62854,27450,110740,2017-01-11,5632,5120,59.6,37.5,24.0,10.5,42.2
57749,37290,26704,16125,42539,2017-02-10,5632,5120,22.0,14.2,10.2,6.2,16.2
68483,42345,28699,18789,48716,2017-02-20,5632,5120,26.1,16.2,10.9,7.2,18.6
239480,212310,189686,158005,223091,2017-03-02,5632,5120,91.4,81.0,72.4,60.3,85.1
109653,88834,76567,63898,99022,2017-03-12,5632,5120,41.8,33.9,29.2,24.4,37.8
182,5,0,0,0,2017-04-01,5632,5120,0.1,0.0,0.0,0.0,0.0
46,0,0,0,0,2017-04-11,5632,5120,0.0,0.0,0.0,0.0,0.0
261858,259629,257789,254476,260232,2017-05-01,5632,5120,99.9,99.0,98.3,97.1,99.3
37,8,0,0,0,2017-05-11,5632,5120,0.0,0.0,0.0,0.0,0.0
243102,186497,159531,136653,205265,2017-05-21,5632,5120,92.7,71.1,60.9,52.1,78.3
